﻿Title:,"Table 17 - HE full-time academic staff by HE provider and contract salary"
Subtitle:,"Academic years 2014/15 to 2024/25"
Reference ID:,DT025 Table 17
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-17
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-17.zip
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2026
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Sex,All 
,Academic employment function,All 
,Contract levels,All 
,Academic year,2024/25 
Search:,


"UKPRN","HE provider","Contract salary < £23,581 ","Contract salary ≥ £23,581 and < £29,659 ","Contract salary ≥ £29,659 and < £39,105 ","Contract salary ≥ £39,105 and < £52,183 ","Contract salary ≥ £52,183 and < £69,757 ","Contract salary ≥ £69,757 ","Total"
"10067648","University Academy 92 Limited","0","0","15","25","5","5","55"
"10007114","University of the Highlands and Islands","0","0","5","15","15","5","45"
"10007807","Ulster University","0","0","115","285","595","170","1,165"
"10039956","The University of Law","0","5","0","155","195","45","405"
"10007784","University College London","0","0","140","2,285","2,070","2,255","6,750"
"10007793","University of South Wales","0","0","45","375","260","65","745"
"10089591","Walbrook Institute London Limited","0","0","5","0","5","5","15"
"10029843","Waltham International College Limited","0","0","10","10","0","0","25"
"10007163","The University of Warwick","0","0","250","735","820","635","2,435"
"10007361","Waverley Abbey College","0","0","0","0","0","0","0"
"10007164","University of the West of England, Bristol","0","0","100","505","620","135","1,365"
"10007800","The University of the West of Scotland","0","0","5","105","485","70","660"
"10006566","The University of West London","0","0","45","140","235","60","475"
"10007165","The University of Westminster","0","0","0","245","340","200","790"
"10003614","The University of Winchester","0","0","0","75","115","30","220"
"10007166","The University of Wolverhampton","0","0","35","205","380","50","670"
"10007139","University of Worcester","0","0","10","120","195","30","360"
"10007833","Wrexham University","0","0","5","110","55","5","175"
"10007713","York St John University","0","5","25","125","180","40","375"
"10007167","The University of York","0","0","195","590","620","425","1,830"
"","Total","20","510","12,320","54,720","57,550","36,105","161,225"
