workforce,staff_N,year,scenario,oncosts,structure,cost_per_head,total_cost,exeter_saving_per_yr,extra_posts_at_exeter_avg
E&R only,750,2026-27(+2%),even,incl,Southampton,71818,53863554,2197137,29.4
E&R only,750,2026-27(+2%),even,incl,Liverpool,73945,55458448,602244,8.1
E&R only,750,2026-27(+2%),even,incl,Durham,70514,52885860,3174831,42.5
E&R only,750,2026-27(+2%),even,incl,Sheffield,69363,52022520,4038171,54.0
E&R only,750,2026-27(+2%),top,salary only,Exeter,58846,44134385,0,0.0
E&R only,750,2026-27(+2%),top,salary only,Bristol,57254,42940594,1193791,20.3
E&R only,750,2026-27(+2%),top,salary only,Leeds,60057,45042487,-908102,-15.4
E&R only,750,2026-27(+2%),top,salary only,Cardiff,57221,42915793,1218592,20.7
E&R only,750,2026-27(+2%),top,salary only,Birmingham,55469,41601750,2532636,43.0
E&R only,750,2026-27(+2%),top,salary only,York,55789,41841414,2292972,39.0
E&R only,750,2026-27(+2%),top,salary only,Warwick,56830,42622640,1511745,25.7
E&R only,750,2026-27(+2%),top,salary only,Nottingham,57824,43368116,766269,13.0
E&R only,750,2026-27(+2%),top,salary only,Southampton,57900,43424646,709739,12.1
E&R only,750,2026-27(+2%),top,salary only,Liverpool,59409,44556864,-422478,-7.2
E&R only,750,2026-27(+2%),top,salary only,Durham,56186,42139696,1994689,33.9
E&R only,750,2026-27(+2%),top,salary only,Sheffield,55469,41601413,2532973,43.0
E&R only,750,2026-27(+2%),top,incl,Exeter,75750,56812201,0,0.0
E&R only,750,2026-27(+2%),top,incl,Bristol,73680,55260272,1551929,20.5
E&R only,750,2026-27(+2%),top,incl,Leeds,77324,57992733,-1180532,-15.6
E&R only,750,2026-27(+2%),top,incl,Cardiff,73637,55228031,1584170,20.9
E&R only,750,2026-27(+2%),top,incl,Birmingham,71360,53519774,3292427,43.5
E&R only,750,2026-27(+2%),top,incl,York,71775,53831338,2980863,39.4
E&R only,750,2026-27(+2%),top,incl,Warwick,73129,54846932,1965269,25.9
E&R only,750,2026-27(+2%),top,incl,Nottingham,74421,55816051,996150,13.2
E&R only,750,2026-27(+2%),top,incl,Southampton,74519,55889540,922661,12.2
E&R only,750,2026-27(+2%),top,incl,Liverpool,76482,57361423,-549222,-7.3
E&R only,750,2026-27(+2%),top,incl,Durham,72292,54219105,2593096,34.2
E&R only,750,2026-27(+2%),top,incl,Sheffield,71359,53519336,3292865,43.5
E&R + Education-only,1155,2025-26,bottom,salary only,Exeter,54521,62971942,0,0.0
E&R + Education-only,1155,2025-26,bottom,salary only,Bristol,52558,60704822,2267120,41.6
E&R + Education-only,1155,2025-26,bottom,salary only,Leeds,54016,62388769,583174,10.7
E&R + Education-only,1155,2025-26,bottom,salary only,Cardiff,52737,60910962,2060980,37.8
E&R + Education-only,1155,2025-26,bottom,salary only,Birmingham,49582,57267273,5704669,104.6
E&R + Education-only,1155,2025-26,bottom,salary only,York,49990,57738813,5233129,96.0
E&R + Education-only,1155,2025-26,bottom,salary only,Warwick,50241,58028377,4943565,90.7
E&R + Education-only,1155,2025-26,bottom,salary only,Nottingham,50627,58474524,4497418,82.5
E&R + Education-only,1155,2025-26,bottom,salary only,Southampton,50803,58677896,4294047,78.8
E&R + Education-only,1155,2025-26,bottom,salary only,Liverpool,52663,60826106,2145836,39.4
E&R + Education-only,1155,2025-26,bottom,salary only,Durham,50823,58700042,4271900,78.4
E&R + Education-only,1155,2025-26,bottom,salary only,Sheffield,49568,57250848,5721095,104.9
E&R + Education-only,1155,2025-26,bottom,incl,Exeter,70128,80997275,0,0.0
E&R + Education-only,1155,2025-26,bottom,incl,Bristol,67576,78050019,2947256,42.0
E&R + Education-only,1155,2025-26,bottom,incl,Leeds,69471,80239149,758126,10.8
E&R + Education-only,1155,2025-26,bottom,incl,Cardiff,67808,78318001,2679274,38.2
E&R + Education-only,1155,2025-26,bottom,incl,Birmingham,63707,73581205,7416070,105.8
E&R + Education-only,1155,2025-26,bottom,incl,York,64237,74194207,6803068,97.0
